id	filename	md5	size	state
3adfbff4-00fd-47f1-83d3-d33c253bfebb	03d6e124-5927-4573-a041-a1d8e109fa1c.FPKM.txt.gz	f74104ca435febc55bbaebccc56ac62a	535232	released
5dc76d45-fc45-467c-bf6e-9400b167841b	9acccb43-06a7-4a01-ba48-c99af66a8af0.FPKM.txt.gz	25fc759447e3a8a3640b030187605d5f	517570	released
865a4cc6-443d-4fa6-81e9-bff83f7900fa	d1051cf3-e258-4250-b31e-26a1711c90ee.FPKM.txt.gz	f759591b030b5bea01490a760f01a681	526747	released
7de202be-6631-49c7-bd71-21c6a9bd0b2f	8e9207d2-9ff8-427b-b968-47f619c41b1f.FPKM.txt.gz	8c85f82bc2f854092cab72dd8f830e62	532622	released
29334de6-df29-40de-9838-89cfc8a994f6	84cf5b05-7d2c-4d14-9ba9-deba82d8df0a.FPKM.txt.gz	482ab78df5d82234749cadddce5a02cc	506016	released
15ee9008-3c7c-492b-94b2-7a2b38202066	9d44799b-6913-4a8a-ab8d-f2dce3f00fda.FPKM.txt.gz	d1047f331d9471e1688b22742b9ad7ef	531241	released
d268f4ab-f040-464f-83df-0ebb05850729	94b65d9b-b3d9-45b2-80ac-cb4664fe8428.FPKM.txt.gz	02001fd5e6e1862e6c7b0f5ec8fac37c	515820	released
a8cd5a5b-f6b6-40aa-8f7b-8e9bd5e80e79	7d9b1591-42eb-4d02-978e-0a194d498d6c.FPKM.txt.gz	bbef0f2921f5401558324117339256a3	527876	released
9338ebd7-12e9-4d62-b5d6-108f70e402ba	d8454c9a-0054-49b0-adfd-7b4ce451ef77.FPKM.txt.gz	05b92e7c801319eda90bd51b48c1227e	533015	released
cb1209d2-c5e8-4ea1-b6da-fba39f169c88	82f115f0-ec01-4fc7-b926-4b3b638db21a.FPKM.txt.gz	11192badb1ce6fefb8a8c6eb51feb015	537813	released
e678a34d-5dd9-4dd2-9e0e-431baaa5f843	92aa8637-25d7-429e-aa0f-46f63bb22800.FPKM.txt.gz	aad8d1be8c12207d8dfe6585461e5d33	543504	released
55f5fd8d-7d6b-4237-b159-e499200bd725	7975e611-5e6d-444e-a773-5e131734a1ec.FPKM.txt.gz	b4196c55763fdb9e533b1a9a3d0d8ba7	532711	released
c69e8fb8-7263-4aa8-a1bb-ebb2118832ee	f7a7853b-6fd7-4b89-b567-3798df13b4fd.FPKM.txt.gz	c1577063ae8918d2dc3944bc2f3bbed2	529056	released
843dab84-2209-41ab-ad42-58c0c2e98722	ade587a3-3ee0-482f-87f0-e72cad4317cc.FPKM.txt.gz	f6b9add0482c55b207ed61638bdf2dde	527284	released
c4847eba-b132-4ba6-b763-40e41aa30551	7fa15877-d125-40ea-b4da-16c00f7b92d0.FPKM.txt.gz	bba871f520359af604e28d27403a3592	505628	released
6f819e3f-982f-48d1-90b0-901fa0804334	2b72861d-7b1b-4b7b-8b9d-1e2fb596bfc7.FPKM.txt.gz	755296e37719b2062bbc72f827b8f4d9	542201	released
7809d569-9edf-47f4-b428-d7f1d279bc6b	0ad0b568-345f-4be5-a093-c6b08ed5e953.FPKM.txt.gz	4539283e5d3c369e67c27bb2d900452c	518827	released
cbffa935-c21b-445e-ba7f-e2cb1aaf81d0	88cf0020-b8b7-4d6e-a5e9-313ee7dcf479.FPKM.txt.gz	8e6aa12d704f9dbe7fbe581ffc88fae4	527203	released
aa65a816-0b49-49e0-aa6f-2d39f011dae0	29b6e624-9539-4abc-b80f-b5c7b65948fc.FPKM.txt.gz	30738cf15854a83b9b2d057062e533e5	508423	released
4f1b529f-2565-4535-a388-69b588df6682	15d9df59-6840-4f24-81f2-008e43af911b.FPKM.txt.gz	1babee9072c8153069133bb0be5dbd46	533121	released
3060f293-b15d-47d4-a5ea-217a7befdbb3	0063c2da-4f47-4974-afea-03b4cdb21e33.FPKM.txt.gz	3c61aef2c76897c67e13994f18e4a662	528349	released
cc0c979f-d8bb-4204-bb3d-2c096f46fe67	85a24ab5-29e0-4718-b1e9-cf5b47166655.FPKM.txt.gz	adabacf2007a924f9fe8135bcf1472f3	524560	released
4e58016e-6a67-49a7-bd58-353a4dd71f9c	b0122c82-effe-4e54-bc7b-b1e98c788614.FPKM.txt.gz	07187d56a9a4a73dd8136c11c3e01785	530145	released
72346e39-a4de-4719-9a01-953070ca0667	ec9f16ee-befd-4f7b-85f1-75b0de8d7d5c.FPKM.txt.gz	a8488e16529fc1f4381154c5ad36f7fb	528022	released
27169eff-f4fb-4b1d-98fc-b34192b1bd3b	fe819208-ff01-49e0-a04a-5fb467351305.FPKM.txt.gz	aa2f073782c56235d4e85a86fbf05e11	517420	released
08a60097-d2e4-4a7b-ab78-8d25db3f8cd5	be244b42-fd11-4788-9a3e-60be97747994.FPKM.txt.gz	9ddc6c16adcf2665a73557f29d066b52	520731	released
717044af-5845-4123-a394-21eefa25deed	c60f9638-1b5b-4bd5-90f6-c903b8679f2b.FPKM.txt.gz	2a67f5c699a9d43a84242440872d7270	504853	released
5a46cf28-a6ec-4dc3-bbbd-0372dc6cf1a6	3ceffeff-4dd6-4ff9-8fa2-eb88199c498b.FPKM.txt.gz	c22e336c2e0bcc7cbb970c226d912aca	537641	released
b2cc40b1-f3d9-4cfc-9c36-59a9510bf12f	d0aa1f9f-7352-41e9-8b3f-dc70dce00e21.FPKM.txt.gz	d5624334d4684bb6451b35007c17d471	510515	released
d428b125-149d-44fc-b3ac-513a3e0a2a66	7fe42315-1c0a-46cd-9b38-c09841337a96.FPKM.txt.gz	96b10e34ec9a2cd346d19528f3a117aa	523034	released
bde7562e-44da-4918-bc41-88a0d372d8a0	c28c0258-a9e8-45fa-8f53-6dd36e38e854.FPKM.txt.gz	6b2e112f921d22661dd99339a9201707	548419	released
2d584c04-1169-44b3-880e-7e814ad4e89c	a998a5b1-397d-4497-a58c-9b9e1c7f491e.FPKM.txt.gz	3d1f71898db4ff999cc4ab587f5405cb	514795	released
6f523e32-84d5-4d88-9ef6-24d766b850b2	e4d7b98d-5c78-4316-96eb-e25d71fe1c77.FPKM.txt.gz	d27a1f005ee967ccff96f8fa0e5aa0cd	520413	released
d729cc6b-9c25-4b43-bdce-a9e243c1ce76	fab01c26-ff5b-4db5-bb5f-5b17847ca2b5.FPKM.txt.gz	57df15488c31d12026020cefea540acb	512926	released
c4341249-830d-488c-9847-82479b124af1	5c7f58e7-f1a5-44e5-a6f5-853c83b84016.FPKM.txt.gz	cce0356104d96f342204b3a4b6a0b188	526815	released
d30abea8-7e83-4d1b-aecd-b00444aa2bee	a21edcea-271f-4402-ac9f-82426ff46f94.FPKM.txt.gz	4c55f4cf3bca2106417a91a158796579	519407	released
15ca6bac-19f2-4a56-a803-0b1d05b8ae47	8377d811-2636-4a75-be84-8e201ca646c1.FPKM.txt.gz	a498ed1b2c3623c4ce8a7937d27f2dd2	524822	released
